時間,首次離線時間,IP 位址,設備 ID,設備類型,位置,離線時長(秒)
2026-06-17 16:54:06,2026-06-17 16:03:37,172.21.69.24,3800-T21_AOI,EQP,K11-8F 區網(69),3029
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.64,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.205,3190-A53,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.204,3190-A52,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.203,3190-A52,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.201,3190-A51,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:06,172.21.83.114,5100-042,EQP,K11-10F 區網(83),2940
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.129,3390-A59,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.112,3203-A01,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:06,172.21.83.133,5100-075,EQP,K11-10F 區網(83),2940
2026-06-17 16:54:06,2026-06-17 16:05:06,172.21.83.135,5100-077,EQP,K11-10F 區網(83),2940
2026-06-17 16:54:06,2026-06-17 16:05:06,172.21.83.138,5100-081,EQP,K11-10F 區網(83),2940
2026-06-17 16:54:06,2026-06-17 16:05:06,172.21.83.139,5100-082,EQP,K11-10F 區網(83),2940
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.75,3190-A56,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.63,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:04:37,172.21.77.157,2890-903,EQP,K11-9F 區網(77),2969
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.62,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.61,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.60,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.59,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.58,3190-A53,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.57,3190-A53,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.56,3190-A53,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.52,3190-A52,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.51,3190-A52,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.50,3190-A52,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.46,3190-A51,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.45,3190-A51,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.206,3190-A53,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.212,3190-A56,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.207,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.209,3190-A55,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.110,5070-040,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:04:56,172.22.67.140,2730-B41,EQP,K21-9F 區網(67),2950
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.88,5070-018,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.146,5070-016,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.91,5070-021,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.163,5070-033,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.82,5070-012,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.76,5070-006,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.67,5070-047,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.65,5070-045,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.137,5070-007,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.138,5070-008,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.139,5070-009,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.140,5070-010,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.141,5070-011,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.62,5070-042,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:20,172.21.84.47,5070-027,EQP,K11-10F 區網(84),2926
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.208,3190-A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.84,3380-A53/A54,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.85,3380-A55/A56,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.65,3190-A55,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.76,3190-A56,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.211,3190-A56,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.82,3380-A51/A52,EQP,K22-8F 區網(102),2932
2026-06-17 16:54:06,2026-06-17 16:05:14,172.22.102.210,3190-A55,EQP,K22-8F 區網(102),2932
