2025-12-25 13:02:13 | 172.21.36.144 | 2890-F04 | PLC (vacuum) | K11-4F 區網(36).csv
2025-12-25 13:03:25 | 172.21.27.221 | 2880-K11 | PLC-1 (酒精上拋) | K11-3F 區網(27).csv
2025-12-25 13:04:06 | 172.22.61.108 | 3410-A05/A06 | ADAM 6050 | K21-8F 區網(61).csv
2025-12-25 13:04:06 | 172.22.61.162 | 2500-A11/A12 | ADAM 6050 | K21-8F 區網(61).csv
2025-12-25 13:08:06 | 172.21.67.199 | 4110-809/810 | ADAM 4570 | K11-8F 區網(67).csv
2025-12-25 13:08:41 | 172.21.59.80 | Oct-90 | ADAM 6050 | K11-7F 區網(59).csv
2025-12-25 13:02:13 | 172.21.36.144 | 2890-F04 | PLC (vacuum) | K11-4F 區網(36).csv
2025-12-25 13:03:25 | 172.21.27.221 | 2880-K11 | PLC-1 (酒精上拋) | K11-3F 區網(27).csv
2025-12-25 13:04:06 | 172.22.61.108 | 3410-A05/A06 | ADAM 6050 | K21-8F 區網(61).csv
2025-12-25 13:04:06 | 172.22.61.162 | 2500-A11/A12 | ADAM 6050 | K21-8F 區網(61).csv
2025-12-25 13:08:06 | 172.21.67.199 | 4110-809/810 | ADAM 4570 | K11-8F 區網(67).csv
2025-12-25 13:08:41 | 172.21.59.80 | Oct-90 | ADAM 6050 | K11-7F 區網(59).csv
2025-12-25 13:02:13 | 172.21.36.144 | 2890-F04 | PLC (vacuum) | K11-4F 區網(36).csv
2025-12-25 13:03:25 | 172.21.27.221 | 2880-K11 | PLC-1 (酒精上拋) | K11-3F 區網(27).csv
2025-12-25 13:04:06 | 172.22.61.108 | 3410-A05/A06 | ADAM 6050 | K21-8F 區網(61).csv
2025-12-25 13:04:06 | 172.22.61.162 | 2500-A11/A12 | ADAM 6050 | K21-8F 區網(61).csv
2025-12-25 13:08:06 | 172.21.67.199 | 4110-809/810 | ADAM 4570 | K11-8F 區網(67).csv
2025-12-25 13:08:41 | 172.21.59.80 | Oct-90 | ADAM 6050 | K11-7F 區網(59).csv
