Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.27.27,2880_RPA PC,K11-3F,,,,,, EAP,,2022-12-06,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.28,2890_中繼電腦,K11-3F,,,,,, EAP,,2023-03-31,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.28.36,FE09-K06,K11-3F,EQP,,,,, EAP,,2021-12-13,,,K11\3F\K11-3F 區網(28).csv,,dead
172.21.29.16,2900-K11_EAP,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,dead
172.21.29.37,2900-K32_EAP,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(29).csv,,dead
172.21.29.38,2900-K33F_EAP,K11-3F,20181221-W05,,,Win 7,, EAP,,2019-11-04,,,K11\3F\K11-3F 區網(29).csv,,dead
172.21.29.39,2900-K34F_EAP,K11-3F,PC,,,Win 7,, EAP,,2019-04-25,,,K11\3F\K11-3F 區網(29).csv,,dead
172.21.35.9,跨樓層分貨看板PC,K11-4F,20171225-W01,,,WIN7,, EAP,,2018-10-11,,Y,K11\4F\K11-4F 區網(35).csv,11_4F 跨樓層入料口,dead
172.21.35.26,2900-F11_EAP,K11-4F,,,,WIN7,, EAP,,2019-04-08,,,K11\4F\K11-4F 區網(35).csv,,dead
172.21.35.32,2900-F17_EAP,K11-4F,,,,,, EAP,,2020-07-28,,,K11\4F\K11-4F 區網(35).csv,,dead
172.21.35.33,2900-F18_EAP,K11-4F,,,,,, EAP,,2019-09-24,,,K11\4F\K11-4F 區網(35).csv,,dead
172.21.35.34,2900-F19_EAP,K11-4F,,,,,, EAP,,2019-09-24,,,K11\4F\K11-4F 區網(35).csv,,dead
172.21.67.4,3260SAA廠商PC,K11-8F,自動搬運,,,,, EAP,,2019-05-20,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.5,3260排貨看版PC,K11-8F,,,,,, EAP,,2019-05-20,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.7,4110SAA廠商PC,K11-8F,自動搬運,,,,, EAP,,2019-05-20,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.12,3910取貨看版PC,K11-8F,,,,WIN7,, EAP,,2015-05-07,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.13,3910SAA廠商PC,K11-8F,,,,,, EAP,,2019-06-05,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.15,4507SAA廠商PC,K11-8F,自動搬運,,,,, EAP,,2020-06-04,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.17,4507排貨看版PC,K11-8F,20190314-W07,,,,, EAP,,2020-06-04,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.26,3910-806,K11-8F,EQP,,,,, EAP,,2020-08-21,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.67.42,3910-822,K11-8F,EQP,,,,, EAP,,2020-08-21,,,K11\8F\K11-8F 區網(67).csv,,dead
172.21.76.17,3435-O15_EAP,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(76).csv,,dead
172.21.76.21,2601-T01_EAP,K11-9F,20220311-W03,,,WIN10,, EAP,,2022-03-30,,,K11\9F\K11-9F 區網(76).csv,,dead
172.21.76.22,2601-T02_EAP,K11-9F,20220311-W02,,,WIN10,, EAP,,2022-03-30,,,K11\9F\K11-9F 區網(76).csv,,dead
172.21.76.30,3435-K05_EAP,K11-9F,20190218-W11,,,WIN7,EAP A01, EAP,,2019-03-06,,,K11\9F\K11-9F 區網(76).csv,,dead
172.21.76.35,3435-K10_EAP,K11-9F,,,,,, EAP,,,,,K11\9F\K11-9F 區網(76).csv,,dead
