Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.27.104,2880-K04,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.106,2880-K03,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.109,2880-K09,K11-3F,EQP,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.121,2890-K07,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.122,2890-K09,K11-3F,EQP,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.123,2890-K10,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.125,2890-K12-1,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.126,2890-K12-2,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.127,2890-K13,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.129,2890-K11,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.131,2890-K14-1,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.132,2890-K14-2,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.133,2880-K08,K11-3F,Clare,,,,,EQP,,2020-05-07,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.137,2880-K05_2D,K11-3F,BSK,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.139,2880-K04_2D,K11-3F,BSK,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.141,2880-K03_2D,K11-3F,BSK,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.147,2880-K07_2D,K11-3F,BSK,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.149,2880-K13_2D,K11-3F,BSK,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.160,2560-K01,K11-3F,EQP,,,,,EQP,,2021-09-27,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.162,2845-K02,K11-3F,EQP,,,,,EQP,,2021-09-27,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.165,2845-K05,K11-3F,EQP,,,,,EQP,,2021-09-27,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.168,2845-K07,K11-3F,EQP,,,,,EQP,,2020-12-24,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.169,2845-K08,K11-3F,EQP,,,,,EQP,,2021-06-11,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.170,2845-F99,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.171,2880-K01,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.172,2880-K02,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.173,2880-K03,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.174,2880-K04,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.175,2880-K05,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.176,2880-K06,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
