Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.25.51.1,3910_EAP,K18-10F,20220920-W12,,,,,EAP,,,,Y,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.2,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.3,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.4,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.5,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.6,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.7,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.8,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.9,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.10,3910過帳PC,K18_10F,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.11,3910-K01,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.12,3910-K02,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.13,3910-K03,K18_10F,EQP,,,,,EAP,,2025-04-08 00:00:00,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.14,3910-K04,K18_10F,EQP,,,,,EAP,,2025-04-08 00:00:00,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.15,3910-K05,K18_10F,EQP,,,,,EAP,,2025-04-08 00:00:00,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.16,3910-K06,K18_10F,EQP,,,,,EAP,,2025-04-08 00:00:00,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.17,3910-B54,K18_10F,EQP,,,,,EAP,,2025-06-18 00:00:00,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.18,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.19,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.20,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.21,4800-K01,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.22,4800-K02,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.23,4800-K03,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.24,4800-K04,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.25,4800-K05,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.26,4800-K06,K18_10F,EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.27,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.28,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.29,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.30,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.31,5070-K01,K18_10F,TEST EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.32,5070-K02,K18_10F,TEST EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.33,5070-K03,K18_10F,TEST EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.34,,,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,dead
172.25.51.35,5084-K02 RPA PC,K18_10F,,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.36,5084-K01,K18_10F,TEST EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
172.25.51.37,5084-K02,K18_10F,TEST EQP,,,,,EAP,,,,,K18\10F\K18-10F 區網(51).csv,,alive
