Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.22.65.1,4600(AU)_EAP,K21-9F,20210127-W06,,,WIN10,,EAP,,2017/7//9,AP03,Y,K21\9F\K21-9F 區網(65).csv,21_9F H7CIM9-2EAP機櫃內,alive
172.22.65.2,4600(RK)_EAP,K21-9F,20220119-W04,,,WIN10,,EAP,,2023-01-15,,Y,K21\9F\K21-9F 區網(65).csv,21_9F H7CIM9-2EAP機櫃內,alive
172.22.65.3,4730_EAP,K21-9F,20210127-W03,,,,,EAP,,2018-06-29,,Y,K21\9F\K21-9F 區網(65).csv,21_9F H7CIM9-2EAP機櫃內,alive
172.22.65.4,4800_EAP,K21-9F,20130101-106,,,,,EAP,,,,Y,K21\9F\K21-9F 區網(65).csv,21_9F H7CIM9-2EAP機櫃內,alive
172.22.65.5,4950_EAP,K21-9F,,,,,,EAP,,2017/7//9,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.6,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.7,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.8,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.9,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.10,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.11,4600 AI PC-1,K21-9F,20230619-W93,,,,,EAP,,2023-08-16,,,K21\9F\K21-9F 區網(65).csv,,alive
172.22.65.12,4600 AI PC-2,K21-9F,,,,,,EAP,,2023-11-09,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.13,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.14,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.15,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.16,4800-B01,K21-9F,EQP,7001.0,,,,EAP,,2022-01-27,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.17,4800-B02,K21-9F,EQP,7002.0,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.18,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.19,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.20,4800-B05,K21-9F,EQP,7005.0,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.21,4800-B11,K21-9F,EQP,7011.0,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,alive
172.22.65.22,4800-B12,K21-9F,EQP,7012.0,,,,EAP,,2022-03-23,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.23,4800-B13,K21-9F,EQP,7013.0,,,,EAP,,2019-10-24,,,K21\9F\K21-9F 區網(65).csv,,alive
172.22.65.24,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.25,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.26,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,alive
172.22.65.27,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.28,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.29,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.30,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.31,4610 EAP,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.32,4610_中繼電腦,K21-9F,,,,,,EAP,,2024-01-11,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.33,4610_Server,K21-9F,,,,,,EAP,,2024-01-11,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.34,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.35,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.36,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.37,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
172.22.65.38,,K21-9F,,,,,,EAP,,,,,K21\9F\K21-9F 區網(65).csv,,dead
