Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
10.11.104.136,EAP_備份 PC(一園區),其他,20151222-W04,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.139,EAP_備份 PC(二園區),其他,20151222-W01,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.207,4000 CIM PC,其他,20180606-W09,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,dead
10.11.104.218,2000 CIM PC,其他,CIM200,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.219,3000 CIM PC,其他,CIM300,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.220,3000-01 PC ,其他,CIM3000-01,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.221,3000-02 PC,其他,CIM3000-02,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.105.126,KVM PC,其他,20210323-W02,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F KVM中控室,alive
10.11.105.131,KVM PC,其他,20210323-W01,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F KVM中控室,alive
10.11.106.112,2900/4600 A3 Production Rate PC,其他,20190722-W01,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室,alive
10.11.106.115,AI PC,其他,20200520-W99,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室 EAP機櫃,dead
10.11.106.119,AI PC,其他,20230619-W88,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室 鐵架上,alive
10.11.106.81,AI PC,其他,20230619-W92,,,,,EAP,,,,Y,其他\其他 區網(10).csv,22_8F E4柱,alive
10.11.106.86,AI PC,其他,20230619-W89,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室 鐵架上,alive
10.11.106.89,AI PC ,其他,20200520-W97,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室 EAP機櫃,alive
10.11.106.94,5150 PC,其他,20211201-W96,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室,alive
10.11.106.96,AI PC,其他,20230619-W90,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室 鐵架上,dead
10.11.107.89,看板 PC,其他,20210930-W59,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_10F E4柱,alive
10.11.107.93,5131,其他,20190924-W10,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_10F,alive
10.11.84.90,看板 PC,其他,20151225-W02,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_5F 3413-402機台旁,alive
10.11.89.84,自動搬運 PC,其他,20200603-W29,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_6F,alive
10.11.93.107,2195_ADC,其他,20150622-W05,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D4柱子前架上,alive
10.11.93.112,2195_RFID,其他,20140514-W37,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D3柱子旁地上,alive
10.11.93.84,2195 量測,其他,20130110-W27,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D3柱子2195-01機台後,alive
10.11.93.96,2195_EAP,其他,20150316-W03,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D4柱子前架上,alive
10.11.94.93,2490_EAP,其他,20130605-W04,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F F3柱子前架上,alive
10.11.94.99,2490_EAP,其他,20150622-W11,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F F3柱子前架上,alive
10.11.96.111,看板 PC,其他,20190314-W06,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_8F D4柱子前架上,dead
10.11.96.96,個人 PC,其他,20230619-W91,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 5000組辦公室,alive
10.11.99.111,看板 PC,其他,20190314-W07,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_8F E4柱子前架上,alive
10.11.99.122,個人 PC,其他,20191115-W54,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_8F 大辦公室 (第24位置),alive
10.11.99.134,看板 PC,其他,20190314-W09,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_8F F4柱,alive
10.11.99.96,自動搬運 PC,其他,20140507-W06,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_8F 大辦公室 (鐵架),alive
10.11.99.98,震動 Sensor PC,其他,20220119-W31,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_8F 大辦公室,alive
10.12.171.114,AOI,其他,20180917-W11,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K25_9F 5100-16機台旁,alive
10.16.136.81,Dryroom 看板 PC ,其他,20200603-W22,,,,,EAP,,,,Y,其他\其他 區網(10).csv,22_8F DryRoom出口,alive
10.16.28.93,2870-D01,其他,20151214-103,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_5F 2870-D01機台上,alive
10.16.60.101,2490-A01,其他,20130415-C02,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_8F C6柱子2490-A01旁,dead
10.16.60.102,2490-A02,其他,20160929-W17,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_8F C6柱子2490-A02旁,alive
10.16.60.104,2340-A02,其他,20120924-C02,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_8F 2340-A02機台旁,alive
10.16.60.115,2490-D01,其他,20120924-C04,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_5F B2柱子2490-D01旁,dead
10.16.60.135,看板 PC,其他,20160307-W23,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_8F G6柱子X-RAY室內,alive
172.21.27.1,2880-K01~K04_EAP,K11-3F,20220119-W32,,,WIN7,EAP-07, EAP,,2016-08-08 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.27.2,2880-K05~K08_EAP,K11-3F,20220119-W36,,,WIN7,EAP-08, EAP,,2016-08-08 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.27.3,2880-K09~K12_EAP,K11-3F,20220119-W37,,,WIN7,EAP-09, EAP,,2016-08-08 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.27.31,2560 EAP,K11-3F,20180724-W54,,,WIN10,, EAP,,2022-03-03 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.32,2845-K01 EAP,K11-3F,20180124-W47,,,WIN7,, EAP,,2019-08-29 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.33,2845-K02~K03 EAP,K11-3F,20190430-W21,,,WIN7,, EAP,,2017-08-28 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.36,2845-K04~K05 EAP,K11-3F,20111013-W08,,,WIN7,, EAP,,2017-08-28 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.39,2845-K07~K08 EAP,K11-3F,20100112-W01,,,WIN7,, EAP,,2021-06-15 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.4,2880-K13~K14_EAP,K11-3F,20180724-W53,,,WIN7,EAP-12, EAP,,2016-08-08 00:00:00,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.28.1,3190_EAP,K11-3F,20171225-W09,,,WIN7,EAP-05, EAP,,2016-09-09 00:00:00,AP02,Y,K11\3F\K11-3F 區網(28).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.28.7,跨樓層分貨看板PC,K11-3F,20171225-W07,,,WIN7,, EAP,,2018-10-11 00:00:00,,Y,K11\3F\K11-3F 區網(28).csv,11_3F 跨樓層入料口,alive
172.21.29.1,2900(Auto)_EAP,K11-3F,20200603-W21,,,WIN10,EAP-16, EAP,,2020-09-14 00:00:00,AP02,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.29.2,2930(RMS)_EAP,K11-3F,20220302-W03,,,WIN7,EAP-14, EAP,,,,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.29.3,2930(AOI)_EAP,K11-3F,20180606-W11,,,WIN10,EAP-15, EAP,,2022-01-10 00:00:00,,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.29.4,2900(BDS)_EAP,K11-3F,20200603-W30,,,WIN10,EAP-17, EAP,,,,Y,K11\3F\K11-3F 區網(29).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.35.1,2845-F01_EAP,K11-4F,20200603-W31,,,WIN10,, EAP,,2017-08-28 00:00:00,AP02,Y,K11\4F\K11-4F 區網(35).csv,11_4F C5CIM4-1EAP機櫃內,alive
172.21.35.11,2900(Auto)_EAP,K11-4F,20200630-W24,,,WIN10,EAP-10, EAP,,2022-01-08 00:00:00,,Y,K11\4F\K11-4F 區網(35).csv,,alive
172.21.35.12,2930(RMS)_EAP,K11-4F,20220217-W11,,,WIN7,EAP-14, EAP,,,,Y,K11\4F\K11-4F 區網(35).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.35.13,2930(AOI)_EAP,K11-4F,20220302-W04,,,WIN7,EAP-13, EAP,,,,Y,K11\4F\K11-4F 區網(35).csv,11_4F E6CIM4-2EAP機櫃內,alive
172.21.35.14,2900(BDS)_EAP,K11-4F,20190430-W18,,,WIN7,EAP-09, EAP,,2022-01-08 00:00:00,,Y,K11\4F\K11-4F 區網(35).csv,11_4F E6CIM4-2EAP機櫃內,alive
172.21.35.2,2845-F02_EAP,K11-4F,20190430-W15,,,WIN7,, EAP,,2017-08-28 00:00:00,,Y,K11\4F\K11-4F 區網(35).csv,11_4F C5CIM4-1EAP機櫃內,alive
172.21.35.5,2845-F05_EAP,K11-4F,20160226-W12,,,WIN7,, EAP,,2017-08-28 00:00:00,,Y,K11\4F\K11-4F 區網(35).csv,11_4F C5CIM4-1EAP機櫃內,alive
172.21.35.6,2845-F06_EAP,K11-4F,20150212-W10,,,WIN7,, EAP,,2019-09-23 00:00:00,,Y,K11\4F\K11-4F 區網(35).csv,11_4F C5CIM4-1EAP機櫃內,alive
172.21.35.7,2845-F07_EAP,K11-4F,20180124-W42,,,WIN7,, EAP,,2019-12-30 00:00:00,,Y,K11\4F\K11-4F 區網(35).csv,11_4F C5CIM4-1EAP機櫃內,alive
172.21.35.8,2845-F08/F09_EAP,K11-4F,20220217-W04,,,,, EAP,,,,Y,K11\4F\K11-4F 區網(35).csv,11_4F C5CIM4-1EAP機櫃內,alive
172.21.36.1,2880-F02~F05_EAP ,K11-4F,20220217-W13,,,WIN7,EAP-01, EAP,,2016-11-04 00:00:00,AP02,Y,K11\4F\K11-4F 區網(36).csv,11_4F E6CIM4-2EAP機櫃內,alive
172.21.36.2,2880-F06~F09_EAP ,K11-4F,20201125-W09,,,WIN10,EAP-04, EAP,,2016-11-04 00:00:00,,Y,K11\4F\K11-4F 區網(36).csv,11_4F E6CIM4-2EAP機櫃內,alive
172.21.36.5,2845自動搬運,K11-4F,20220119-W34,,,,, EAP,,,,Y,K11\4F\K11-4F 區網(36).csv,25_8F,alive
172.21.36.7,QA水珠角_EAP,K11-4F,20211206-W57,,,WIN7,EAP-02, EAP,,2017-12-15 00:00:00,,Y,K11\4F\K11-4F 區網(36).csv,11_4F E6CIM4-2EAP機櫃內,alive
172.21.37.1,3190_EAP,K11-4F,20210127-W09,,,WIN10,EAP-11, EAP,,2019-01-23 00:00:00,AP02,Y,K11\4F\K11-4F 區網(37).csv,11_4F E6CIM4-2EAP機櫃內,alive
172.21.43.1,3400_EAP(MusashiA),K11-5F,20111130-W55,,,WIN7,, EAP,,2016-03-18 00:00:00,AP02,Y,K11\5F\K11-5F 區網(43).csv,11_5F D6CIM5-2EAP機櫃內,alive
172.21.43.11,3400_EAP(Allring),K11-5F,20150325-W72,,,WIN7,, EAP,,2016-03-18 00:00:00,,Y,K11\5F\K11-5F 區網(43).csv,11_5F D6CIM5-2EAP機櫃內,alive
172.21.43.2,3400_EAP(MusashiB),K11-5F,20190722-W13,,,WIN7,, EAP,,2016-03-15 00:00:00,,Y,K11\5F\K11-5F 區網(43).csv,11_5F D6CIM5-2EAP機櫃內,alive
172.21.43.3,3400_EAP(MusashiC),K11-5F,20111013-W04,,,WIN7,, EAP,,2016-03-18 00:00:00,,Y,K11\5F\K11-5F 區網(43).csv,11_5F D6CIM5-2EAP機櫃內,dead
172.21.43.4,3400_EAP(MusashiD),K11-5F,20190430-W40,,,WIN7,, EAP,,2016-03-18 00:00:00,,Y,K11\5F\K11-5F 區網(43).csv,11_5F D6CIM5-2EAP機櫃內,dead
172.21.43.5,3400_EAP(MusashiE),K11-5F,20200603-W97,,,WIN10,, EAP,,2020-12-14 00:00:00,,Y,K11\5F\K11-5F 區網(43).csv,11_5F D6CIM5-2EAP機櫃內,alive
172.21.43.6,3400_EAP(MusashiF),K11-5F,20220217-W16,,,WIN10,, EAP,,2023-02-22 00:00:00,,Y,K11\5F\K11-5F 區網(43).csv,11_5F D6CIM5-2EAP機櫃內,alive
172.21.44.1,3410_EAP(手動),K11-5F,20111013-W14,,,WIN7,, EAP,,2016-03-15 00:00:00,,Y,K11\5F\K11-5F 區網(44).csv,11_5F G3CIM5-1EAP機櫃內,alive
172.21.44.11,BOAT清洗_EAP,K11-5F,20180124-W58,,,WIN7,, EAP,,,,Y,K11\5F\K11-5F 區網(44).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.44.12,MAG清洗_EAP,K11-5F,20190722-W03,,,WIN10,, EAP,,,,Y,K11\5F\K11-5F 區網(44).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.44.2,3418_EAP,K11-5F,20150325-W02,,,WIN7,, EAP,,2016-03-15 00:00:00,,Y,K11\5F\K11-5F 區網(44).csv,11_5F G3CIM5-1EAP機櫃內,alive
172.21.44.6,3450_EAP,K11-5F,20121218-W10,,,WIN7,, EAP,,2017-07-07 00:00:00,AP02,Y,K11\5F\K11-5F 區網(44).csv,11_5F G3CIM5-1EAP機櫃內,alive
172.21.45.1,3380_EAP,K11-5F,20130605-W35,,,WIN7,, EAP,,2016-03-15 00:00:00,,Y,K11\5F\K11-5F 區網(45).csv,11_5F G3CIM5-1EAP機櫃內,alive
172.21.45.11,自動化烤箱_1,K11-5F,20140127-W15,,,,, EAP,,2016-11-04 00:00:00,,Y,K11\5F\K11-5F 區網(45).csv,11_5F G3柱第1套烤箱中控室內,alive
172.21.45.15,自動化烤箱_3,K11-5F,20110408-W28,,,,, EAP,,2016-11-04 00:00:00,,Y,K11\5F\K11-5F 區網(45).csv,11_5F F3柱第2套烤箱中控室內,alive
172.21.45.2,3410_EAP,K11-5F,20230816-W08,,,WIN7,, EAP,,,,Y,K11\5F\K11-5F 區網(45).csv,11_5F G3CIM5-1EAP機櫃內,alive
172.21.45.21,3390-409_EAP,K11-5F,20230816-W10,,,,, EAP,,2016-11-10 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-409機台旁,alive
172.21.45.22,3390-411_EAP,K11-5F,20140408-W32,,,,, EAP,,2016-11-10 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-411機台旁,alive
172.21.45.23,3390-K06_EAP,K11-5F,20211206-W38,,,,, EAP,,2016-11-10 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-K06機台旁,alive
172.21.45.24,3390-T01_EAP,K11-5F,20211206-W54,,,WIN10,, EAP,,2022-04-27 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-T01機台旁,alive
172.21.45.26,3390-405_EAP,K11-5F,20150325-W47,,,,, EAP,,2016-11-10 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-405機台旁,alive
172.21.45.27,3390-404_EAP,K11-5F,20211206-W44,,,,, EAP,,2016-11-10 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-404機台旁,alive
172.21.45.28,3390-K03_EAP,K11-5F,20140516-W15,,,,, EAP,,2016-11-10 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-K03機台旁,alive
172.21.45.29,3390-407_EAP,K11-5F,20140304-W61,,,,, EAP,,2016-11-10 00:00:00,四色盒走行軸,Y,K11\5F\K11-5F 區網(45).csv,11_5F 3390-407機台旁,alive
172.21.45.31,5F跨樓層搬運_EAP,K11-5F,20171215-W01,,,,, EAP,,2018-05-02 00:00:00,,Y,K11\5F\K11-5F 區網(45).csv,11_5F F3柱第2套烤箱中控室內,alive
172.21.45.6,3390_EAP,K11-5F,20220119-W16,,,WIN10,, EAP,,2023-01-04 00:00:00,,Y,K11\5F\K11-5F 區網(45).csv,11_5F G3CIM5-1EAP機櫃內,alive
172.21.46.1,2845-501_EAP,K11-5F,20201125-W06,,,WIN10,, EAP,,2021-08-02 00:00:00,AP02,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.10,3190_EAP,K11-5F,20201125-W10,,,WIN10,, EAP,,2021-08-02 00:00:00,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.13,3101_EAP,K11-5F,20180724-W50,,,WIN10,, EAP,,2022-06-28 00:00:00,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.2,2845-502_EAP,K11-5F,20190722-W14,,,WIN7,, EAP,,2021-10-26 00:00:00,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.26,2880_EAP,K11-5F,20190218-W07,,,,, EAP,,2024-04-12 00:00:00,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
