Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.25.100.1,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.2,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.3,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.4,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.5,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.6,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.7,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.8,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.9,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.10,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.11,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.12,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.13,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.14,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.15,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.16,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.17,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.18,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.19,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.20,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.21,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.22,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.23,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.24,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.25,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.26,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.27,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.28,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.29,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.30,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.31,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.32,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.33,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.34,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.35,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.36,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.37,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.38,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.39,,K18-9F,,,,,,,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.40,,K18-9F,,,,,, EAP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
0,0,0,0,0,0,0,0,0,0,,0,0,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.41,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.42,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.43,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.44,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.45,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.46,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.47,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.48,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.49,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.50,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.51,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.52,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.53,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.54,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.55,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.56,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.57,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.58,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.59,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.60,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.61,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.62,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.63,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.64,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.65,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.66,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.67,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.68,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.69,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.70,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.71,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.72,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.73,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.74,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.75,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.76,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.77,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.78,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.79,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.80,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.81,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.82,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.83,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.84,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.85,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.86,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.87,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.88,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.89,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.90,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.91,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.92,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.93,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.94,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.95,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.96,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.97,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.98,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.99,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.100,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.101,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.102,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.103,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.104,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.105,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.106,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.107,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.108,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.109,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.110,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.111,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
172.25.100.112,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.113,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.114,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,alive
172.25.100.115,,K18-9F,,,,,,EQP,,,,,K18\9F\K18-9F 區網(100).csv,,dead
