Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.25.49.1,,,20221214-W35,,,,,,,,,Y,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.2,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.3,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.4,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.5,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.6,AI Server,K18_10F,CIMAISERVER02,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,alive
172.25.49.7,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.8,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.9,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.10,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.11,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.12,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.13,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.14,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.15,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.16,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.17,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.18,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.19,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.20,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.21,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.22,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.23,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.24,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.25,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.26,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.27,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.28,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.29,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.30,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.31,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.32,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.33,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.34,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.35,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.36,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.37,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.38,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.39,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.40,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
0,,,,,,,,,0,0,0,0,0,,dead
172.25.49.41,CCD-1,K18-10F,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.42,CCD-2,K18-10F,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.43,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.44,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.45,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.46,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.47,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.48,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.49,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
172.25.49.50,,,,,,,,,,,,,K18\10F\K18-10F 區網(49).csv,,dead
