Internal_IP,Device_Name,Machine_ID,Local,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
10.16.60.104,20120924-C02,2340-A02,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_8F 2340-A02機台旁,alive
10.11.93.84,20130110-W27,2195 量測,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D3柱子2195-01機台後,alive
10.11.94.93,20130605-W04,2490_EAP,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F F3柱子前架上,alive
10.11.93.112,20140514-W37,2195_RFID,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D3柱子旁地上,alive
10.11.93.96,20150316-W03,2195_EAP,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D4柱子前架上,alive
10.16.60.135,20160307-W23,看板 PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_8F G6柱子X-RAY室內,dead
10.11.93.107,20150622-W05,2195_ADC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F D4柱子前架上,alive
10.11.94.99,20150622-W11,2490_EAP,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_7F F3柱子前架上,alive
10.16.28.93,20151214-103,2870-D01,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_5F 2870-D01機台上,alive
10.11.104.139,20151222-W01,EAP_備份 PC(二園區),其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.136,20151222-W04,EAP_備份 PC(一園區),其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.84.90,20151225-W02,看板 PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_5F 3413-402機台旁,alive
10.16.60.102,20160929-W17,2490-A02,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,21_8F C6柱子2490-A02旁,alive
10.11.104.218,CIM200,2000 CIM PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.219,CIM300,3000 CIM PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,alive
10.11.104.220,CIM3000-01,3000-01 PC ,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,dead
10.11.104.221,CIM3000-02,3000-02 PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F Server室,dead
10.12.171.114,20180917-W11,AOI,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K25_9F 5100-16機台旁,alive
10.11.99.134,20190314-W09,看板 PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_8F F4柱,alive
10.11.99.111,20190314-W07,看板 PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_8F E4柱子前架上,alive
10.11.106.112,20190722-W01,2900/4600 A3 Production Rate PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室,alive
10.11.107.93,20190924-W10,5131,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_10F,alive
10.16.136.81,20200603-W22,Dryroom 看板 PC ,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,22_8F DryRoom出口,alive
10.11.89.84,20200603-W29,自動搬運 PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_6F,alive
10.11.105.131,20210323-W01,KVM PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F KVM中控室,dead
10.11.105.126,20210323-W02,KVM PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F KVM中控室,dead
10.11.107.89,20210930-W59,看板 PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,11_10F E4柱,alive
10.11.106.98,20211201-W96,,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,,alive
10.11.99.130,20220119-W31,,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,,alive
10.11.99.135,20220920-W08,,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,,alive
10.11.99.142,20220920-W29,,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,,dead
10.11.106.119,20230619-W88,AI PC,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,K11_10F 維修室 鐵架上,alive
10.11.99.131,20230619-W96,,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,,alive
10.16.134.143,20231027-W01,,其他,,,,,EAP,,,,Y,其他\其他 區網(10).csv,,dead
172.25.45.11,20220920-W16,,,,,,,EAP,,,K11-5F 3380自動化搬運-1 EAP PC,Y,K18\9F\K18-9F 區網(45).csv,,dead
