Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.44.1,3410_EAP(手動),K11-5F,20111013-W14,,,WIN7,, EAP,,2016/3/15,,,K11\5F\K11-5F 區網(44).csv,,alive
172.21.44.2,3418_EAP,K11-5F,20150325-W02,,,WIN7,, EAP,,2016/3/15,,,K11\5F\K11-5F 區網(44).csv,,alive
172.21.44.3,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.4,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.5,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,dead
172.21.44.7,MAG清洗資料_EAP,K11-5F,,,,WIN7,, EAP,,2017/7/7,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.8,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.9,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.10,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.11,BOAT清洗_EAP,K11-5F,20180124-W58,,,WIN7,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,alive
172.21.44.12,MAG清洗_EAP,K11-5F,20190722-W03,,,WIN10,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,alive
172.21.44.13,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.14,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.15,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.16,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
172.21.44.17,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(44).csv,,dead
